Equipo	Primero	Segundo	Mejor Tercero	Cuartos	Semifinal	Final	Campeon
Argentina	0.5690	0.2515	0.1066	0.9271	0.7099	0.4965	0.3399
Bolivia	0.0291	0.1161	0.1687	0.3139	0.0708	0.0146	0.0027
Brazil	0.0292	0.1077	0.1705	0.3074	0.0621	0.0123	0.0023
Chile	0.6038	0.2614	0.0810	0.9462	0.5799	0.3665	0.1851
Colombia	0.4298	0.3567	0.1136	0.9001	0.4305	0.1946	0.0825
Ecuador	0.2821	0.3976	0.1555	0.8352	0.4113	0.1798	0.0690
Jamaica	0.0433	0.1301	0.1771	0.3504	0.1352	0.0443	0.0130
Mexico	0.0850	0.2250	0.2407	0.5506	0.1753	0.0524	0.0139
Paraguay	0.1767	0.2950	0.2278	0.6996	0.3949	0.1817	0.0841
Peru	0.0735	0.1954	0.2402	0.5091	0.1383	0.0356	0.0083
Uruguay	0.2109	0.3234	0.2129	0.7473	0.4392	0.2130	0.1057
Venezuela	0.4676	0.3402	0.1054	0.9131	0.4526	0.2087	0.0936
