Equipo	Primero	Segundo	Mejor Tercero	Cuartos	Semifinal	Final	Campeon
Argentina	0.528	0.313	0.12	0.961	0.581	0.301	0.166
Bolivia	0.015	0.065	0.122	0.202	0.036	0.005	0.001
Brazil	0.792	0.158	0.033	0.983	0.716	0.514	0.369
Chile	0.604	0.269	0.089	0.962	0.621	0.388	0.185
Colombia	0.134	0.446	0.166	0.746	0.359	0.159	0.055
Ecuador	0.112	0.262	0.298	0.673	0.245	0.071	0.018
Jamaica	0.006	0.03	0.08	0.116	0.016	0.003	0
Mexico	0.269	0.403	0.191	0.863	0.433	0.179	0.062
Paraguay	0.122	0.265	0.347	0.734	0.264	0.098	0.03
Peru	0.032	0.182	0.176	0.391	0.119	0.032	0.006
Uruguay	0.344	0.392	0.183	0.919	0.462	0.209	0.098
Venezuela	0.041	0.214	0.195	0.45	0.149	0.043	0.01
