Equipo	Primero	Segundo	Mejor Tercero	Cuartos	Semifinal	Final	Campeon
Argentina	0.528	0.313	0.119	0.96	0.598	0.313	0.186
Bolivia	0.027	0.079	0.133	0.239	0.044	0.007	0.001
Brazil	0.792	0.158	0.032	0.982	0.723	0.53	0.403
Chile	0.399	0.324	0.165	0.888	0.45	0.218	0.075
Colombia	0.134	0.446	0.161	0.741	0.381	0.186	0.065
Ecuador	0.176	0.272	0.268	0.716	0.267	0.09	0.023
Jamaica	0.006	0.03	0.077	0.113	0.019	0.004	0
Mexico	0.398	0.326	0.164	0.888	0.451	0.22	0.077
Paraguay	0.122	0.265	0.342	0.728	0.293	0.115	0.037
Peru	0.032	0.182	0.17	0.385	0.131	0.04	0.008
Uruguay	0.344	0.392	0.181	0.917	0.482	0.224	0.113
Venezuela	0.041	0.214	0.188	0.444	0.162	0.053	0.012
